CreditNotes ID,Credit Note Date,Credit Note Number,Credit Note Status,Customer ID,Sub Total (BCY),Total (BCY),Balance (BCY),Created Time,Currency Code,Exchange Rate,Sales Person ID,Last Modified Time,Discount Amount (BCY),Adjustment (BCY)
9465000004098609,03 Oct 2024,CN-00052,Closed,9465000000105731,SAR 264.35,SAR 304.00,SAR 0.00,2024-10-03 08:56:30,SAR,1.00,9465000000133536,2024-10-03 08:56:37,SAR 0.00,SAR 0.00
9465000004098657,03 Oct 2024,CN-00053,Closed,9465000000107469,SAR 74.61,SAR 86.00,SAR 0.00,2024-10-03 08:58:40,SAR,1.00,9465000000133536,2024-10-03 08:58:47,SAR 0.00,SAR 0.00
9465000004098697,03 Oct 2024,CN-00054,Closed,9465000000105533,SAR 10.43,SAR 12.00,SAR 0.00,2024-10-03 09:00:22,SAR,1.00,9465000000133536,2024-10-03 09:00:28,SAR 0.00,SAR 0.00
9465000004098735,03 Oct 2024,CN-00055,Closed,9465000000107227,SAR 15.65,SAR 18.00,SAR 0.00,2024-10-03 09:02:31,SAR,1.00,9465000000133536,2024-10-03 09:02:39,SAR 0.00,SAR 0.00
9465000004256115,05 Oct 2024,CN-00056,Closed,9465000000109845,SAR 18.17,SAR 21.00,SAR 0.00,2024-10-05 15:25:00,SAR,1.00,9465000000133540,2024-10-05 15:25:07,SAR 0.00,SAR 0.00
9465000004256884,29 Sep 2024,EXPIRED /DAMAGED,Closed,9465000000109647,"SAR 6,453.00","SAR 6,453.00",SAR 0.00,2024-10-05 15:59:23,SAR,1.00,9465000000133540,2024-10-09 12:13:52,SAR 0.00,SAR 0.00
9465000004256940,05 Oct 2024,CN-00057,Closed,9465000000108745,SAR 57.00,SAR 57.00,SAR 0.00,2024-10-05 16:15:36,SAR,1.00,9465000000133540,2024-10-05 16:15:45,SAR 0.00,SAR 0.00
9465000004256974,05 Oct 2024,CN-00058,Closed,9465000000110219,SAR 311.30,SAR 358.00,SAR 0.00,2024-10-05 16:18:10,SAR,1.00,9465000000133540,2024-10-05 16:18:40,SAR 0.00,SAR 0.00
9465000004301155,06 Oct 2024,CN-00059,Closed,9465000000108525,SAR 23.74,SAR 27.00,SAR 0.00,2024-10-06 13:30:36,SAR,1.00,9465000000133540,2024-10-06 13:30:42,SAR 0.00,SAR 0.00
9465000004301195,06 Oct 2024,CN-00060,Closed,9465000000109119,SAR 29.22,SAR 34.00,SAR 0.00,2024-10-06 13:32:18,SAR,1.00,9465000000133540,2024-10-06 13:32:25,SAR 0.00,SAR 0.00
9465000004396435,08 Oct 2024,CN-00061,Closed,9465000000108657,SAR 66.00,SAR 66.00,SAR 0.00,2024-10-08 15:29:15,SAR,1.00,,2024-10-08 15:29:23,SAR 0.00,SAR 0.00
9465000004531877,12 Oct 2024,CN-00062,Closed,9465000000107139,SAR 25.50,SAR 29.00,SAR 0.00,2024-10-12 09:24:36,SAR,1.00,9465000000133536,2024-10-12 09:24:47,SAR 0.00,SAR 0.00
9465000004531925,12 Oct 2024,CN-00063,Closed,9465000000105687,SAR 50.84,SAR 58.00,SAR 0.00,2024-10-12 09:26:26,SAR,1.00,9465000000133536,2024-10-12 09:28:48,SAR 0.00,SAR 0.00
9465000004538003,12 Oct 2024,CN-00064,Closed,9465000000108261,SAR 41.25,SAR 47.00,SAR 0.00,2024-10-12 09:31:24,SAR,1.00,9465000000133536,2024-10-12 09:31:30,SAR 0.00,SAR 0.00
9465000004538051,12 Oct 2024,CN-00065,Closed,9465000000104125,SAR 139.13,SAR 160.00,SAR 0.00,2024-10-12 09:32:54,SAR,1.00,,2024-10-12 09:32:59,SAR 0.00,SAR 0.00
9465000004562147,13 Oct 2024,CN-00067,Closed,9465000000117866,SAR 95.65,SAR 110.00,SAR 0.00,2024-10-13 10:13:28,SAR,1.00,,2024-10-13 10:14:22,SAR 0.00,SAR 0.00
9465000004562966,13 Oct 2024,CN-00068,Closed,9465000000109405,SAR 83.48,SAR 96.00,SAR 0.00,2024-10-13 13:02:53,SAR,1.00,9465000000133540,2024-10-13 13:03:02,SAR 0.00,SAR 0.00
9465000004546705,12 Oct 2024,CN-00066,Closed,9465000000109933,SAR 31.10,SAR 36.00,SAR 0.00,2024-10-12 17:30:04,SAR,1.00,9465000000133540,2024-10-12 17:30:12,SAR 0.00,SAR 0.00
9465000004636705,16 Oct 2024,CN-00069,Open,9465000000107733,SAR 525.52,SAR 604.00,SAR 16.00,2024-10-16 08:39:26,SAR,1.00,9465000000133536,2024-10-16 08:40:34,SAR 0.00,SAR 0.00
9465000004636913,16 Oct 2024,CN-00070,Closed,9465000002106266,SAR 5.22,SAR 6.00,SAR 0.00,2024-10-16 08:43:55,SAR,1.00,9465000000133538,2024-10-16 08:44:03,SAR 0.00,SAR 0.00
9465000004643074,16 Oct 2024,CN-00071,Closed,9465000004581055,SAR 48.24,SAR 55.00,SAR 0.00,2024-10-16 08:49:16,SAR,1.00,9465000003527716,2024-10-16 08:49:17,SAR 0.00,SAR 0.00
9465000004655630,16 Oct 2024,CN-00072,Closed,9465000000108657,SAR 100.00,SAR 115.00,SAR 0.00,2024-10-16 19:25:14,SAR,1.00,9465000000133540,2024-10-16 19:25:20,SAR 0.00,SAR 0.00
9465000004664762,17 Oct 2024,CN-00073,Closed,9465000000107315,SAR 20.00,SAR 23.00,SAR 0.00,2024-10-17 08:59:53,SAR,1.00,9465000000133536,2024-10-17 09:01:51,SAR 0.00,SAR 0.00
9465000004664804,17 Oct 2024,CN-00074,Closed,9465000000105533,SAR 21.91,SAR 25.00,SAR 0.00,2024-10-17 09:01:01,SAR,1.00,9465000000133536,2024-10-17 09:01:09,SAR 0.00,SAR 0.00
9465000004664868,17 Oct 2024,CN-00075,Closed,9465000003739186,SAR 85.46,SAR 98.00,SAR 0.00,2024-10-17 09:04:25,SAR,1.00,9465000003527716,2024-10-17 09:06:52,SAR 0.00,SAR 0.00
9465000004664924,17 Oct 2024,CN-00076,Closed,9465000000105819,SAR 9.13,SAR 11.00,SAR 0.00,2024-10-17 09:05:48,SAR,1.00,9465000000133536,2024-10-17 09:06:06,SAR 0.00,SAR 0.00
9465000004664998,17 Oct 2024,CN-00077,Closed,9465000000107667,SAR 272.78,SAR 314.00,SAR 0.00,2024-10-17 09:11:19,SAR,1.00,9465000000133536,2024-10-17 09:11:34,SAR 0.00,SAR 0.00
9465000004670166,17 Oct 2024,CN-00078,Closed,9465000000105577,SAR 34.68,SAR 40.00,SAR 0.00,2024-10-17 09:19:38,SAR,1.00,9465000000133536,2024-10-17 09:19:53,SAR 0.00,SAR 0.00
9465000004952030,22 Oct 2024,CN-00085,Closed,9465000000108943,SAR 66.00,SAR 66.00,SAR 0.00,2024-10-22 08:35:58,SAR,1.00,,2024-10-22 08:35:59,SAR 0.00,SAR 0.00
9465000004952522,22 Oct 2024,CN-00086,Closed,9465000001977048,SAR 64.35,SAR 74.00,SAR 0.00,2024-10-22 09:27:41,SAR,1.00,,2024-10-22 09:28:06,SAR 0.00,SAR 0.00
9465000004741637,20 Oct 2024,CN-00079,Closed,9465000000109185,SAR 75.22,SAR 87.00,SAR 0.00,2024-10-20 08:55:27,SAR,1.00,9465000000133540,2024-10-20 08:55:27,SAR 0.00,SAR 0.00
9465000004810185,21 Oct 2024,CN-00080,Closed,9465000000107095,SAR 301.79,SAR 347.00,SAR 0.00,2024-10-21 08:01:08,SAR,1.00,9465000000133536,2024-10-21 08:04:42,SAR 0.00,SAR 0.00
9465000004810313,21 Oct 2024,CN-00081,Closed,9465000000106171,SAR 219.13,SAR 252.00,SAR 0.00,2024-10-21 08:04:18,SAR,1.00,9465000000133536,2024-10-21 08:04:26,SAR 0.00,SAR 0.00
9465000004810391,21 Oct 2024,CN-00082,Closed,9465000000107315,SAR 20.00,SAR 23.00,SAR 0.00,2024-10-21 08:05:58,SAR,1.00,9465000000133536,2024-11-15 14:09:15,SAR 0.00,SAR 0.00
9465000004984461,24 Oct 2024,CN-00087,Closed,9465000000110043,SAR 232.61,SAR 268.00,SAR 0.00,2024-10-24 08:04:30,SAR,1.00,9465000000133540,2024-10-24 08:04:38,SAR 0.00,SAR 0.00
9465000005001005,24 Oct 2024,CN-S00001,Closed,9465000000107733,SAR 588.00,SAR 588.00,SAR 0.00,2024-10-24 13:32:31,SAR,1.00,,2024-10-24 13:32:39,SAR 0.00,SAR 0.00
9465000005058136,27 Oct 2024,CN-00088,Closed,9465000000110219,SAR 26.09,SAR 30.00,SAR 0.00,2024-10-27 16:15:49,SAR,1.00,,2024-10-27 16:16:00,SAR 0.00,SAR 0.00
9465000005119798,28 Oct 2024,CN-00089,Closed,9465000003744591,SAR 38.17,SAR 44.00,SAR 0.00,2024-10-28 15:50:43,SAR,1.00,9465000003527716,2024-10-28 15:51:51,SAR 0.00,SAR 0.00
9465000005212272,31 Oct 2024,CN-00090,Closed,9465000001042378,SAR 56.34,SAR 65.00,SAR 0.00,2024-10-31 09:04:27,SAR,1.00,9465000000133538,2024-10-31 09:04:35,SAR 0.00,SAR 0.00
9465000005212340,31 Oct 2024,CN-00091,Closed,9465000000104961,SAR 83.48,SAR 96.00,SAR 0.00,2024-10-31 09:06:02,SAR,1.00,9465000000133538,2024-10-31 09:06:09,SAR 0.00,SAR 0.00
9465000005212768,31 Oct 2024,CN-00092,Closed,9465000000110219,SAR 117.39,SAR 135.00,SAR 0.00,2024-10-31 13:34:20,SAR,1.00,9465000000133540,2024-10-31 13:34:27,SAR 0.00,SAR 0.00
9465000005344557,06 Nov 2024,CN-00093,Closed,9465000004552849,SAR 230.00,SAR 265.00,SAR 0.00,2024-11-06 18:19:03,SAR,1.00,,2024-11-06 18:21:22,SAR 0.00,SAR 0.00
9465000005741702,09 Nov 2024,CN-00094,Closed,9465000000107139,SAR 44.52,SAR 51.00,SAR 0.00,2024-11-09 09:25:21,SAR,1.00,9465000000133536,2024-11-09 09:25:49,SAR 0.00,SAR 0.00
9465000005741788,09 Nov 2024,CN-00095,Closed,9465000004354602,SAR 91.83,SAR 106.00,SAR 0.00,2024-11-09 09:27:34,SAR,1.00,9465000003527716,2024-11-09 09:27:35,SAR 0.00,SAR 0.00
9465000005741838,09 Nov 2024,CN-00096,Closed,9465000002106266,SAR 95.65,SAR 110.00,SAR 0.00,2024-11-09 09:37:01,SAR,1.00,9465000000133538,2024-11-09 09:37:18,SAR 0.00,SAR 0.00
9465000005741880,09 Nov 2024,CN-00097,Closed,9465000000106655,SAR 17.53,SAR 20.00,SAR 0.00,2024-11-09 09:40:46,SAR,1.00,9465000000133536,2024-11-09 09:41:05,SAR 0.00,SAR 0.00
9465000005741958,09 Nov 2024,CN-00098,Closed,9465000000107315,SAR 96.00,SAR 110.00,SAR 0.00,2024-11-09 09:44:47,SAR,1.00,9465000000133536,2024-11-09 09:44:55,SAR 0.00,SAR 0.00
9465000005746258,09 Nov 2024,CN-00099,Void,9465000000108019,SAR 6.96,SAR 8.00,SAR 8.00,2024-11-09 12:41:03,SAR,1.00,9465000000133536,2025-01-26 11:55:04,SAR 0.00,SAR 0.00
9465000005746605,09 Nov 2024,CN-00100,Closed,9465000005344040,SAR 278.26,SAR 320.00,SAR 0.00,2024-11-09 13:58:59,SAR,1.00,,2024-11-09 13:58:59,SAR 0.00,SAR 0.00
9465000005905991,16 Nov 2024,CN-00102,Closed,9465000000109053,SAR 38.08,SAR 44.00,SAR 0.00,2024-11-16 08:57:15,SAR,1.00,9465000000133538,2024-11-16 08:57:22,SAR 0.00,SAR 0.00
9465000005910059,16 Nov 2024,CN-00103,Closed,9465000000103795,SAR 98.87,SAR 114.00,SAR 0.00,2024-11-16 09:06:11,SAR,1.00,9465000000133538,2024-11-16 09:06:19,SAR 0.00,SAR 0.00
9465000005910533,16 Nov 2024,CN-00104,Closed,9465000005222667,SAR 3.75,SAR 4.00,SAR 0.00,2024-11-16 11:23:56,SAR,1.00,9465000000133538,2024-11-16 11:24:14,SAR 0.00,SAR 0.00
9465000005931791,16 Nov 2024,CN-00105,Closed,9465000000428548,SAR 138.00,SAR 159.00,SAR 0.00,2024-11-16 12:14:56,SAR,1.00,,2024-11-16 12:15:09,SAR 0.00,SAR 0.00
9465000005970936,18 Nov 2024,CN-00106,Closed,9465000001063988,SAR 8.70,SAR 10.00,SAR 0.00,2024-11-18 11:16:15,SAR,1.00,,2024-11-18 11:16:27,SAR 0.00,SAR 0.00
9465000006018833,21 Nov 2024,CN-00107,Closed,9465000000106149,SAR 43.41,SAR 50.00,SAR 0.00,2024-11-21 08:44:26,SAR,1.00,9465000000133536,2024-11-21 08:44:32,SAR 0.00,SAR 0.00
9465000006018877,21 Nov 2024,CN-00108,Closed,9465000000108261,SAR 194.42,SAR 224.00,SAR 0.00,2024-11-21 08:49:01,SAR,1.00,9465000000133536,2024-11-21 08:49:09,SAR 0.00,SAR 0.00
9465000006021882,21 Nov 2024,CN-00109,Closed,9465000000105687,SAR 19.31,SAR 22.00,SAR 0.00,2024-11-21 09:51:22,SAR,1.00,9465000000133536,2024-11-21 09:51:29,SAR 0.00,SAR 0.00
9465000006167541,23 Nov 2024,CN-00110,Closed,9465000003356603,SAR 100.00,SAR 115.00,SAR 0.00,2024-11-23 08:29:11,SAR,1.00,9465000000133538,2024-11-23 08:29:22,SAR 0.00,SAR 0.00
9465000006167583,23 Nov 2024,CN-00111,Closed,9465000001063988,SAR 42.61,SAR 49.00,SAR 0.00,2024-11-23 08:31:22,SAR,1.00,9465000000133538,2024-11-23 08:31:29,SAR 0.00,SAR 0.00
9465000006167625,23 Nov 2024,CN-00112,Closed,9465000003150436,SAR 3.27,SAR 4.00,SAR 0.00,2024-11-23 08:33:09,SAR,1.00,9465000000133538,2024-11-23 08:33:15,SAR 0.00,SAR 0.00
9465000006167669,23 Nov 2024,CN-00113,Closed,9465000005929303,SAR 13.22,SAR 15.00,SAR 0.00,2024-11-23 08:35:15,SAR,1.00,9465000000133538,2024-11-23 08:35:16,SAR 0.00,SAR 0.00
9465000006249201,26 Nov 2024,CN-00114,Closed,9465000002106266,SAR 13.39,SAR 15.00,SAR 0.00,2024-11-26 15:35:49,SAR,1.00,,2024-11-26 15:38:00,SAR 0.00,SAR 0.00
9465000006297225,30 Nov 2024,CN-00115,Closed,9465000004552849,SAR 67.20,SAR 77.00,SAR 0.00,2024-11-30 09:58:33,SAR,1.00,,2024-11-30 09:58:40,SAR 0.00,SAR 0.00
9465000006301769,30 Nov 2024,CN-00116,Closed,9465000000106457,SAR 352.17,SAR 405.00,SAR 0.00,2024-11-30 11:38:02,SAR,1.00,9465000000133536,2024-11-30 11:40:10,SAR 0.00,SAR 0.00
9465000006741210,12 Dec 2024,CN-00118,Closed,9465000006741256,SAR 148.70,SAR 171.00,SAR 0.00,2024-12-12 19:02:33,SAR,1.00,,2024-12-12 19:06:16,SAR 0.00,SAR 0.00
9465000006913628,21 Dec 2024,CN-00119,Closed,9465000006741256,SAR 117.39,SAR 135.00,SAR 0.00,2024-12-21 12:48:46,SAR,1.00,,2024-12-21 12:50:44,SAR 0.00,SAR 0.00
9465000006948079,22 Dec 2024,CN-00120,Closed,9465000000105973,SAR 202.95,SAR 233.00,SAR 0.00,2024-12-22 14:11:44,SAR,1.00,,2025-02-08 13:32:51,SAR 0.00,SAR 0.00
9465000006948473,22 Dec 2024,CN-00121,Closed,9465000006792501,SAR 39.13,SAR 45.00,SAR 0.00,2024-12-22 14:44:24,SAR,1.00,,2024-12-22 14:44:25,SAR 0.00,SAR 0.00
9465000006948519,22 Dec 2024,CN-00122,Closed,9465000006792501,SAR 955.65,"SAR 1,099.00",SAR 0.00,2024-12-22 14:44:50,SAR,1.00,,2024-12-22 14:44:51,SAR 0.00,SAR 0.00
9465000006953926,23 Dec 2024,CN-00123,Closed,9465000001063988,SAR 80.00,SAR 92.00,SAR 0.00,2024-12-23 10:24:54,SAR,1.00,,2024-12-23 10:24:55,SAR 0.00,SAR 0.00
9465000007043201,24 Dec 2024,CN-00124,Closed,9465000000104521,SAR 32.00,SAR 37.00,SAR 0.00,2024-12-24 12:43:21,SAR,1.00,9465000000133538,2025-01-02 10:58:07,SAR 0.00,SAR 0.00
9465000007057108,25 Dec 2024,CN-00125,Closed,9465000000104675,SAR 31.20,SAR 36.00,SAR 0.00,2024-12-25 10:49:52,SAR,1.00,,2025-01-02 10:54:38,SAR 0.00,SAR 0.00
9465000007072418,25 Dec 2024,CN-00126,Closed,9465000002038409,SAR 41.15,SAR 47.00,SAR 0.00,2024-12-25 15:06:40,SAR,1.00,,2024-12-26 10:34:32,SAR 0.00,SAR 0.00
9465000007164478,31 Dec 2024,CN-00127,Closed,9465000000109053,SAR 26.09,SAR 30.00,SAR 0.00,2024-12-31 13:29:27,SAR,1.00,,2024-12-31 13:29:35,SAR 0.00,SAR 0.00
9465000007271970,07 Jan 2025,CN-00128,Closed,9465000000191543,SAR 35.16,SAR 40.00,SAR 0.00,2025-01-07 16:30:49,SAR,1.00,,2025-01-09 10:50:37,SAR 0.00,SAR 0.00
9465000007282973,08 Jan 2025,CN-00129,Closed,9465000003462927,SAR 981.28,"SAR 1,128.00",SAR 0.00,2025-01-08 10:29:55,SAR,1.00,,2025-01-08 10:30:44,SAR 0.00,SAR 0.00
9465000007388846,08 Jan 2025,CN-00130,Closed,9465000000104829,SAR 20.52,SAR 24.00,SAR 0.00,2025-01-08 13:17:03,SAR,1.00,,2025-01-08 13:57:27,SAR 0.00,SAR 0.00
9465000007797605,12 Jan 2025,CN-00131,Closed,9465000000117866,SAR 222.61,SAR 256.00,SAR 0.00,2025-01-12 15:07:26,SAR,1.00,,2025-01-12 15:07:27,SAR 0.00,SAR 0.00
9465000007827613,13 Jan 2025,CN-00132,Closed,9465000000103509,SAR 41.74,SAR 48.00,SAR 0.00,2025-01-13 15:00:58,SAR,1.00,,2025-01-18 19:37:59,SAR 0.00,SAR 0.00
9465000007827665,13 Jan 2025,CN-00133,Closed,9465000000103509,SAR 97.31,SAR 112.00,SAR 0.00,2025-01-13 15:03:49,SAR,1.00,,2025-01-18 19:44:27,SAR 0.00,SAR 0.00
9465000007863051,14 Jan 2025,CN-00134,Closed,9465000000103795,SAR 30.86,SAR 35.00,SAR 0.00,2025-01-14 10:06:05,SAR,1.00,,2025-01-18 19:36:40,SAR 0.00,SAR 0.00
9465000007863679,14 Jan 2025,CN-00136,Closed,9465000000104763,SAR 12.17,SAR 14.00,SAR 0.00,2025-01-14 13:32:55,SAR,1.00,,2025-01-18 09:19:32,SAR 0.00,SAR 0.00
9465000007911126,16 Jan 2025,CN-00138,Closed,9465000000103509,SAR 173.91,SAR 200.00,SAR 0.00,2025-01-16 12:28:41,SAR,1.00,,2025-01-16 12:29:13,SAR 0.00,SAR 0.00
